234,0.734,70.238,10,3
235,0.737,71.368,10,5
236,0.738,-0.894,9,5
237,0.739,-39.527,10,5
238,0.739,-20.046,7,3
239,0.743,3.382,9,3
240,0.744,9.795,12,3
241,0.752,9.138,10,5
242,0.752,-34.744,9,5
243,0.753,-60.692,9,5
244,0.759,39.995,9,4
245,0.764,-7.816,9,5
246,0.765,56.733,10,5
247,0.765,8.261,10,3
248,0.766,8.271,9,3
249,0.774,31.870,9,3
250,0.774,52.465,9,4
251,0.775,-25.261,9,5
252,0.780,29.486,11,5
253,0.783,-24.145,7,5
254,0.785,42.748,7,2
255,0.795,-24.588,9,3
256,0.797,54.516,10,3
257,0.803,-31.212,9,2
258,0.805,17.552,7,5
259,0.806,48.722,9,5
260,0.817,-55.405,10,3
261,0.821,-23.615,10,3
262,0.826,32.846,10,3
263,0.829,4.687,13,5
264,0.832,38.244,9,5
265,0.835,-64.476,10,6
266,0.835,-11.945,9,5
267,0.835,-4.146,9,3
268,0.842,59.079,9,5
269,0.842,23.575,10,5
270,0.850,73.175,8,2
271,0.853,-35.965,10,2
272,0.855,-26.415,10,5
273,0.857,-46.831,12,2
274,0.857,63.641,7,3
275,0.858,-29.001,10,3
276,0.858,20.665,8,4
277,0.860,-36.251,8,3
278,0.863,55.551,9,1
279,0.864,62.358,9,2
280,0.866,53.313,9,2
281,0.876,55.060,9,6
282,0.876,19.381,9,5
283,0.877,12.357,8,3
284,0.878,-65.828,10,5
285,0.881,-35.602,9,5
286,0.882,78.718,10,5
287,0.886,-13.227,10,6
288,0.889,42.352,9,5
289,0.902,-51.809,9,5
290,0.904,-31.094,8,3
291,0.905,-28.417,9,1
292,0.909,70.306,9,1
293,0.916,-57.164,9,3
294,0.917,3.907,9,3
295,0.919,-41.096,10,3
296,0.923,-28.396,9,4
297,0.924,48.437,7,2
298,0.927,13.365,9,5
299,0.934,-63.601,9,3
300,0.935,42.023,8,2
301,0.935,-17.336,5,1
302,0.965,66.712,7,6
303,0.969,57.378,9,3
304,0.970,22.296,9,2
305,0.972,-28.394,8,4
306,0.975,-57.831,9,4
307,0.980,-42.559,12,5
308,0.984,14.379,8,3
309,0.986,-45.289,9,2
310,0.988,-43.192,10,4
311,0.988,36.970,9,3
312,0.989,61.104,9,3
313,0.991,-48.125,9,3
314,0.992,20.954,9,3
315,0.992,-71.279,10,4
316,1.001,12.146,8,3
317,1.003,-80.395,9,3
318,1.010,-38.595,10,5
319,1.016,62.222,9,2
320,1.021,-16.998,13,2
321,1.033,-25.893,10,4
322,1.035,56.921,8,5
323,1.043,49.870,8,5
324,1.042,17.437,9,3
325,1.044,39.120,9,4
326,1.045,11.264,9,6
327,1.046,-4.926,10,3
328,1.050,-30.135,8,1
329,1.052,-10.141,11,4
330,1.057,62.288,7,2
331,1.060,-26.952,12,4
332,1.061,-34.415,9,3
333,1.063,-17.425,10,2
334,1.064,60.155,9,2
335,1.066,14.082,10,2
336,1.067,65.153,8,6
337,1.067,-25.916,10,4
338,1.067,66.349,11,5
339,1.069,-59.315,9,2
340,1.074,-43.989,9,3
341,1.077,-23.254,10,5
342,1.079,-20.569,10,3
343,1.083,-16.529,7,5
344,1.084,40.110,11,6
